00003553-n	B	L	sebarang
00003553-n	B	L	sebentar tadi
00003553-n	B	L	secara am
00003553-n	B	L	segala
00003553-n	B	L	segalanya
00003553-n	B	L	sekelompok
00003553-n	B	L	sekotah
00003553-n	B	L	seluruh
00003553-n	B	L	seluruh dan gandar
00003553-n	B	L	semesta
00003553-n	B	L	semua
00003553-n	B	L	sepasang
00003553-n	B	L	set
00003553-n	B	L	unit bersepadu
00003553-n	B	O	semuanya
00003553-n	B	O	unit
00003553-n	B	X	seluruhnya
00003662-v	B	L	hembuskan
00003826-v	B	X	bersendawa
00003826-v	B	X	sendawa
00003826-v	B	Y	sedu
00003826-v	B	Y	tersedu-sedu
00003826-v	I	X	tersendak
00003826-v	M	O	tersedu
00003829-a	B	O	melahirkan
00003846-r	B	L	berapi-api
00003846-r	B	L	gelegak
00003846-r	B	L	mendidih
00003846-r	B	L	menggelegak
00003846-r	B	L	panas sekali
00003846-r	B	L	pendidihan
00003846-r	B	O	menindih
00003846-r	B	X	sedang mendidih
00003939-a	B	L	hampir mati
00003939-a	B	L	hampir-hampir mati
00003939-a	B	L	nazak
00003939-a	B	L	orang yg sedang nazak
00004032-v	B	Y	berkeluh
00004032-v	B	Y	hai
00004032-v	B	Y	keluhan
00004032-v	B	Y	mengeluh
00004032-v	I	X	mengambil napas panjang
00004032-v	M	O	keluh-kesah
00004171-a	B	L	bernyawa ikan
00004171-a	M	O	nazak
00004184-r	B	L	nafi
00004184-r	B	L	penafian
00004184-r	B	L	peniadaan
00004227-v	B	L	lepas tempoh
00004227-v	B	L	luput tarikh
00004227-v	B	L	menafaskan
00004227-v	B	L	menghembus nafas
00004227-v	B	L	sudah tidak laku lagi
00004227-v	B	L	tamat
00004227-v	B	O	berakhir
00004227-v	B	O	mati
00004227-v	B	X	habis tempoh
00004227-v	B	X	hembuskan
00004227-v	B	X	melepas nyawa
00004227-v	B	X	menghembuskan nafas
00004227-v	I	O	menapaskan
00004227-v	M	O	menghembus
00004227-v	M	O	menghembuskan
00004258-n	B	L	benda hidup
00004258-n	I	X	mahluk hidup
00004296-a	B	L	akhir
00004296-a	B	L	akhir sekali
00004296-a	B	L	akhirnya
00004296-a	B	L	berlalu
00004296-a	B	L	berlangsung
00004296-a	B	L	berlanjutan
00004296-a	B	L	bertahan
00004296-a	B	L	bong
00004296-a	B	L	buncit
00004296-a	B	L	corot
00004296-a	B	L	di belakang
00004296-a	B	L	lalu
00004296-a	B	L	lepas
00004296-a	B	L	penghabisan
00004296-a	B	L	terakhir
00004296-a	B	L	terbaru
00004296-a	B	L	yang akhir
00004296-a	B	L	yang penghabisan
00004296-a	B	L	yang terakhir
00004296-a	B	L	yang terkebelakang
00004296-a	B	L	yg akhir
00004296-a	B	L	yg bongsu
00004394-r	B	L	dengan ramah
00004394-r	B	L	dengan ramah-tamah
00004394-r	B	L	dgn baik
00004394-r	B	L	santun
00004394-r	B	O	kiranya
00004413-a	B	L	pembuangan
00004413-a	B	X	yang disingkatkan
00004475-n	B	L	ada
00004475-n	B	L	adanya
00004475-n	B	L	badan
00004475-n	B	L	bentuk pasif dan kata kerja pronominal
00004475-n	B	L	berada
00004475-n	B	L	biografi
00004475-n	B	L	buatan
00004475-n	B	L	cara hidup
00004475-n	B	L	dgn kata kerja tertentu
00004475-n	B	L	hayat
00004475-n	B	L	ialah
00004475-n	B	L	keberadaan
00004475-n	B	L	kehidupan
00004475-n	B	L	kepunyaan
00004475-n	B	L	memakai
00004475-n	B	L	organik
00004475-n	B	L	seorang
00004475-n	B	L	sihat
00004475-n	B	L	tubuh
00004475-n	B	L	waktu
00004475-n	B	O	benda hidup
00004475-n	B	O	insan
00004475-n	B	O	makhluk
00004475-n	B	O	manusia
00004475-n	B	O	orang
00004475-n	B	X	badan yg menjalankan tugas
00004475-n	I	O	organisme
00004475-n	I	X	makhluk hidup
00004475-n	M	O	organisma
00004492-v	B	L	ada
00004492-v	B	L	adakan
00004492-v	B	L	berjawat
00004492-v	B	L	berpegang
00004492-v	B	L	berpegang kpd
00004492-v	B	L	bidi
00004492-v	B	L	bimbit
00004492-v	B	L	cekuh
00004492-v	B	L	ditahan
00004492-v	B	L	hadirkan
00004492-v	B	L	jabat
00004492-v	B	L	kakap
00004492-v	B	L	mematuhi
00004492-v	B	L	membendung
00004492-v	B	L	memegang
00004492-v	B	L	memimpin
00004492-v	B	L	memuatkan
00004492-v	B	L	menahan
00004492-v	B	L	menakung
00004492-v	B	L	menayang
00004492-v	B	L	mencekuh
00004492-v	B	L	mendukung
00004492-v	B	L	menggendong
00004492-v	B	L	menghalang
00004492-v	B	L	mengisi
00004492-v	B	L	menjabat
00004492-v	B	L	menjawat
00004492-v	B	L	menyimpan
00004492-v	B	L	menyokong
00004492-v	B	L	milik
00004492-v	B	L	pakem
00004492-v	B	L	palka
00004492-v	B	L	pautan
00004492-v	B	L	pemegang
00004492-v	B	L	perut kapal
00004492-v	B	L	ruang tempat barang
00004492-v	B	L	ruangan
00004492-v	B	O	tahan
00004605-v	B	L	berasal dari
00004605-v	B	L	hembuskan
00004605-v	B	L	keluar
00004605-v	B	L	keluar dari
00004605-v	B	L	keluarkan
00004605-v	B	L	memancar dari
00004605-v	B	L	menafaskan
00004605-v	B	L	muncul dari
00004605-v	B	L	terpancar
00004605-v	B	L	tersebar
00004605-v	B	O	menunjukkan
00004605-v	B	X	menghembuskan nafas
00004605-v	M	O	menghembus
00004605-v	M	O	menghembuskan
00004615-a	B	L	bacok
00004615-a	B	L	cara buatan
00004615-a	B	L	cerut
00004615-a	B	L	ditakik-takik
00004615-a	B	L	gerelang
00004615-a	B	L	gunting
00004615-a	B	L	hentikan
00004615-a	B	L	joreng
00004615-a	B	L	kabung
00004615-a	B	L	kelar
00004615-a	B	L	kisit
00004615-a	B	L	kobak
00004615-a	B	L	kurang
00004615-a	B	L	luka
00004615-a	B	L	melelas
00004615-a	B	L	membahagi dua daun terup
00004615-a	B	L	memotong
00004615-a	B	L	mencencang
00004615-a	B	L	menebas menebang
00004615-a	B	L	mengatam
00004615-a	B	L	mengerat
00004615-a	B	L	mengetip
00004615-a	B	L	menggodot
00004615-a	B	L	menghentikan
00004615-a	B	L	menghiris
00004615-a	B	L	mengurangkan
00004615-a	B	L	meregas
00004615-a	B	L	mericih
00004615-a	B	L	pendekkan
00004615-a	B	L	pendikkan
00004615-a	B	L	potong
00004615-a	B	L	potongan
00004615-a	B	L	regas
00004615-a	B	L	rendahkan
00004615-a	B	L	ringkaskan
00004615-a	B	L	sekeping
00004615-a	B	L	sepotong
00004615-a	B	L	sunting
00004615-a	B	L	takik
00004615-a	B	L	tercencang
00004615-a	B	L	tergarit
00004615-a	B	L	terhiris
00004615-a	B	L	toreh
00004615-a	B	L	tumbuh gigi
00004615-a	B	L	turunkan
00004615-a	B	X	dipendekkan
00004722-r	B	L	adil
00004722-r	B	L	akan tetapi
00004722-r	B	L	bagaimanapun
00004722-r	B	L	baharu sahaja
00004722-r	B	L	bahkan
00004722-r	B	L	berpada-pada
00004722-r	B	L	berpatutan
00004722-r	B	L	cincai
00004722-r	B	L	cincai-cincai
00004722-r	B	L	cuma ada
00004722-r	B	L	cuming
00004722-r	B	L	dengan sembarangan
00004722-r	B	L	ghair
00004722-r	B	L	hanya satu
00004722-r	B	L	jua
00004722-r	B	L	kena pada tempatnya
00004722-r	B	L	malah
00004722-r	B	L	malahan
00004722-r	B	L	sah
00004722-r	B	L	saksama
00004722-r	B	L	satu-satunya
00004722-r	B	L	semangga
00004722-r	B	L	sepatutnya
00004722-r	B	L	terus demikian
00004722-r	B	L	tiada lain dari
00004722-r	B	L	walakin
00004722-r	B	L	walaupun demikian
00004722-r	B	M	kadar
00004722-r	B	M	manakala
00004722-r	B	M	sama ukuran
00004722-r	B	M	tapi
00004722-r	B	O	baru
00004722-r	B	O	cuma
00004722-r	B	O	melainkan
00004722-r	B	O	memang
00004722-r	B	O	saja
00004722-r	B	O	sedangkan
00004722-r	B	O	sederhana
00004722-r	B	O	semata-mata
00004722-r	B	O	tetapi
00004722-r	B	X	secara sederhana
00004722-r	B	Y	cuman
00004722-r	B	Y	hanya
00004722-r	B	Y	masih
00004722-r	B	Y	sahaja
00004722-r	I	O	sekedar
00004722-r	M	O	cuba
00004723-a	B	L	kurang separuh
00004817-a	B	L	pekatkan
00004819-v	B	L	bunyi bersin
00004819-v	B	O	bersin
00004967-r	B	L	cincai
00004967-r	B	L	cincai-cincai
00004967-r	B	L	cuma
00004967-r	B	L	cuman
00004967-r	B	L	dengan sembarangan
00004967-r	B	L	hanya
00004980-a	B	L	lengkap
00004980-a	B	L	tidak dipotong
00004980-a	B	L	tidak diringkaskan
00004980-a	B	L	tidak disingkatkan
00004980-a	I	X	tidak singkat
00005041-v	B	L	beri ilham
00005041-v	B	L	hela nafas
00005041-v	B	L	membangkitkan perasaan
00005041-v	B	L	memberi ilham
00005041-v	B	L	mendorong
00005041-v	B	L	mengilhamkan
00005041-v	B	L	menimbulkan
00005041-v	B	L	menurunkan wahyu
00005041-v	B	L	penarikan nafas
00005041-v	B	L	penyedutan
00005041-v	B	L	sedutan
00005041-v	B	O	menarik
00005041-v	B	O	menghayati
00005041-v	B	O	menghidu
00005041-v	B	O	menghirup
00005041-v	B	O	mengobarkan
00005041-v	B	O	menyedot
00005041-v	B	O	menyerot
00005041-v	B	X	menghirup udara
00005041-v	I	O	menarik napas
00005041-v	I	O	mencerup
00005041-v	M	O	menarik nafas
00005041-v	M	O	menyedut
00005041-v	M	X	menyedut udara
00005055-r	B	L	berjelas-jelas
00005055-r	B	L	berterus-terang
00005055-r	B	L	cincai
00005055-r	B	L	cincai-cincai
00005055-r	B	L	cuma
00005055-r	B	L	cuman
00005055-r	B	L	dengan sembarangan
00005055-r	B	L	hanya
00005107-a	B	L	jumlah panjang
00005107-a	B	L	tidak berpotong
00005107-a	B	O	lengkap
00005205-a	B	O	sempurna
00005205-a	B	X	penuh kepercayaan
00005205-a	B	X	secara keseluruhan
00005205-a	B	X	secara mutlak
00005205-a	B	Y	mutlak
00005205-a	I	Y	absolut
00005205-a	M	O	kemutlakan
00005210-r	B	L	kuno
00005210-r	B	L	zaman dahulu
00005210-r	B	L	zaman kuno
00005453-r	B	L	dengan tidak malunya
00005473-a	B	L	arah
00005473-a	B	L	diarahkan
00005473-a	B	L	hadapkan
00005473-a	B	L	halakan
00005473-a	B	L	haluankan
00005473-a	B	L	jurus
00005473-a	B	L	lurus
00005473-a	B	L	mempertepat
00005473-a	B	L	mengambil haluan
00005473-a	B	L	mengarah
00005473-a	B	L	mengarahkan
00005473-a	B	L	mengelolakan
00005473-a	B	L	mengetuai
00005473-a	B	L	menjuruskan
00005473-a	B	L	menunjukkan arah
00005473-a	B	L	tepat
00005473-a	B	L	terus
00005473-a	B	L	terus-menerus
00005473-a	B	O	betul-betul
00005473-a	B	O	langsung
00005473-a	B	O	sama sekali
00005473-a	I	X	kurang kompromi
00005526-v	B	O	beralun
00005526-v	B	O	membinjat
00005526-v	B	O	mencungap
00005526-v	B	O	mengalun
00005526-v	B	O	terengah-engah
00005526-v	B	X	bengit
00005526-v	B	X	bercungap
00005526-v	B	X	berharap
00005526-v	B	X	berminat
00005526-v	B	X	cangip
00005526-v	B	X	cungap-cungap
00005526-v	B	X	dahaga untuk
00005526-v	B	X	harap-harapkan
00005526-v	B	X	hembusan
00005526-v	B	X	hungap
00005526-v	B	X	hungap-hungap
00005526-v	B	X	keinginan
00005526-v	B	X	kembut
00005526-v	B	X	kempas
00005526-v	B	X	kempas-kempis
00005526-v	B	X	kempul
00005526-v	B	X	kepul
00005526-v	B	X	kepulan
00005526-v	B	X	kesuh
00005526-v	B	X	kesuh kesih
00005526-v	B	X	menarik nafas
00005526-v	B	X	mengalun-alun
00005526-v	B	X	mengekeh-ekeh
00005526-v	B	X	mengengeh
00005526-v	B	X	menggempul
00005526-v	B	X	menghembus
00005526-v	B	X	minta
00005526-v	B	X	nafas pendek
00005526-v	B	X	rindu
00005526-v	B	X	seluar
00005526-v	B	X	terbengek-bengek
00005526-v	B	X	tercunggap-cunggap
00005526-v	B	Y	berkempul-kempul
00005526-v	B	Y	cungap
00005526-v	B	Y	cungap-cangip
00005526-v	B	Y	gempul-gempul
00005526-v	B	Y	kesuh-kesih
00005526-v	B	Y	tercungap-cungap
00005526-v	B	Y	terkapah-kapah
00005526-v	B	Y	termengah-mengah
00005526-v	I	O	berembus
00005526-v	I	O	mengah
00005526-v	I	O	mengembus
00005526-v	I	O	tercungap
00005526-v	I	X	celana
00005526-v	I	X	dada menampi
00005526-v	I	X	ngos-ngosan
00005526-v	I	X	serawal
00005526-v	M	O	cungapan
00005526-v	M	O	engap-engapan
00005526-v	M	O	mengengah-engah
00005526-v	M	O	terhungap
00005526-v	M	O	tersengah-sengah
00005526-v	M	X	seolah-olah tertahan
00005567-r	B	L	automatik
00005567-r	B	L	secara automatik
00005567-r	B	L	secara spontan
00005567-r	B	L	secara wajib
00005599-a	B	L	implisit
