synset_id,lang,goodness,lemma
00014201-v,B,Y,terkokol-kokol
00014201-v,I,O,geletar
00014201-v,I,O,gelitar
00014201-v,I,O,gigil
00014201-v,I,O,ligih
00014201-v,I,O,menggigis
00014285-r,B,O,banyak
00014285-r,B,O,wah
00014405-v,B,O,beristirahat
00014490-a,B,O,banyak
00014490-a,B,O,cukup
00014490-a,B,O,memadai
00014549-v,B,O,berganjak
00014549-v,B,O,bergeser
00014549-v,B,O,memindahkan
00014549-v,B,O,menggerakkan
00014549-v,B,Y,beranjak
00014549-v,B,Y,bergerak
00014549-v,B,Y,garit
00014549-v,B,Y,gerak
00014549-v,I,O,bergulir
00014549-v,I,O,ganjak
00014549-v,I,O,menggulir
00014549-v,I,O,mengisarkan
00014738-r,B,O,berat
00014742-v,B,O,molor
00014742-v,B,O,tidur
00014858-a,B,O,banyak
00014882-r,B,O,wah
00015007-r,B,O,wah
00015163-v,B,O,membondot
00015163-v,B,O,menggabungkan
00015163-v,B,O,menggemal
00015247-a,B,O,besar
00015247-a,B,O,hidup
00015247-a,B,O,lapang
00015247-a,B,O,rimbun
00015247-a,B,O,subur
00015303-v,B,O,memicingkan
00015303-v,B,O,mengantuk
00015303-v,B,O,tidur
00015303-v,B,Y,tertidur
00015388-n,B,Y,binatang
00015388-n,B,Y,fauna
00015388-n,B,Y,makhluk
00015388-n,B,Y,manusia
00015388-n,B,Y,satwa
00015388-n,I,O,hewan
00015388-n,I,Y,margasatwa
00015498-v,B,Y,mengangut
00015498-v,B,Y,terkelap
00015854-a,B,O,banyak
00015953-r,B,O,benar-benar
00015953-r,B,O,parah
00015953-r,B,O,sedalam-dalamnya
00015953-r,B,O,teruk
00016135-a,B,O,lebat
00016135-a,B,O,merimbun
00016380-v,B,O,mengantuk
00016573-v,B,O,tersengguk-sengguk
00016573-v,I,O,terkantuk-kantuk
00016647-a,B,O,menghijau
00016702-v,B,O,angguk
00016702-v,B,O,mengangguk
00016702-v,B,O,tersengguk-sengguk
00017024-a,B,O,jarang
00017024-a,B,O,nadir
00017024-a,B,O,pelik
00017031-v,B,O,berdengkur
00017031-v,B,O,berkeruh
00017031-v,B,O,dengkur
00017031-v,B,O,mengeruh
00017031-v,I,O,mendengkur
00017186-a,B,O,ketat
00017222-n,B,O,pokok
00017222-n,B,O,tumbuh-tumbuhan
00017222-n,B,Y,flora
00017222-n,B,Y,tanaman
00017222-n,B,Y,tumbuhan
00017282-v,B,O,rontok
00017282-v,I,O,mengedrop
00017445-r,B,O,bahkan
00017445-r,B,O,malah
00017445-r,B,O,pun
00017639-r,B,O,dulu
00017639-r,B,O,kini
00017639-r,B,O,masih
00017639-r,B,O,namun
00017639-r,B,O,tetap
00017674-v,B,O,berbentrokan
00017674-v,B,O,kebentok
00017674-v,I,O,berbentrok
00017782-a,B,Y,memadai
00017782-a,B,Y,memuaskan
00017865-v,B,O,mengundurkan
00017865-v,B,O,menidurkan
00017865-v,B,O,tidur
00017865-v,I,O,memensiunkan
00018043-r,B,Y,baik
00018158-v,B,O,bangkit
00018158-v,B,O,berakhir
00018158-v,B,O,meninggi
00018158-v,B,O,meningkat
00018158-v,B,O,terbit
00018158-v,B,Y,bangun
00018158-v,B,Y,celik
00018158-v,I,O,meloncer
00018158-v,I,O,membubung
00018189-r,B,O,bahkan
00018189-r,B,O,sampai-sampai
00018302-r,B,O,agak
00018302-r,B,O,juga
00018302-r,B,O,rada-rada
00018302-r,B,O,sebaik-baiknya
00018302-r,B,O,sebaliknya
00018302-r,B,O,seelok-eloknya
00018405-v,B,O,bangun
00018526-v,B,O,bangkit
00018526-v,B,O,jaga
00018526-v,B,O,membangkitkan
00018526-v,B,O,menggerakkan
00018526-v,B,O,menggugah
00018526-v,B,O,menjagakan
00018526-v,B,Y,bangun
00018526-v,B,Y,membangunkan
00018526-v,B,Y,mengejuti
00018526-v,B,Y,mengejutkan
00018526-v,B,Y,terjaga
00018526-v,I,O,menggairahkan
00018526-v,I,O,menggelitik
00018577-r,B,O,benar
00018577-r,B,O,benar-benar
00018577-r,B,O,betul
00018577-r,B,O,cukup
00018577-r,B,O,sehabis
00018577-r,B,O,sekali
00018781-r,B,O,agak
00018781-r,B,O,rada-rada
00018813-v,B,O,bangun
00018813-v,B,O,membangkitkan
00018813-v,B,O,membangunkan
00018813-v,B,O,mengejutkan
00018813-v,B,O,menggerakkan
00018813-v,B,O,menggugah
00018813-v,B,O,menjagakan
00018813-v,B,O,terjaga
00018813-v,I,O,menggairahkan
00018813-v,I,O,menggelitik
00019339-r,B,O,jemah
00019339-r,B,O,pernah
00019339-r,B,O,selalu
00019339-r,B,O,selama-lamanya
00019339-r,B,O,selamanya
00019339-r,B,O,sentiasa
00019609-r,B,O,selalu
00019609-r,B,O,selamanya
00019609-r,B,O,senantiasa
00019613-n,B,Y,inti
00019613-n,B,Y,unsur
00019731-a,B,O,berhampiran
00019731-a,B,O,dekat
00019757-r,B,Y,selalu
00019792-v,B,O,melejang
00019792-v,B,O,menempur
00019792-v,B,O,menerjang
00019792-v,B,O,menerpa
00019792-v,B,O,menggasak
00019792-v,B,O,menggempur
00019792-v,B,O,menggeropyok
00019792-v,B,O,mengkritik
00019792-v,B,O,menyambar
00019792-v,B,O,menyerang
00019792-v,B,O,menyergap
00019792-v,B,O,merempuh
00019792-v,I,O,menggenjot
00019792-v,I,O,menyabet
00019982-v,I,O,memborok
00020090-n,B,O,zat
00020103-a,B,O,terasing
00020103-a,B,O,terpencil
00020259-v,I,O,begadang
00020280-r,B,O,selama-lamanya
00020280-r,B,O,sentiasa
00020280-r,B,O,tetap
00020476-r,B,O,sentiasa
00020671-v,I,O,menghipnosis
00020671-v,I,O,terpesona
00020759-r,B,O,jangan
00020759-r,B,O,masakan
