original_text,admin,adu,air,aja,alir,allah,area,baik,banget,bantu,banyu,barat,bayar,benowo,berangkat,biar,bocor,bulak,bulan,butuh,call,cek,center,cepat,cuci,culvert,daerah,dampak,debit,denda,dm,e,estimasi,g,ga,gak,ganggu,gimana,gin,habis,halo,hari,hidup,indah,info,informasi,iya,jalan,jam,jambang,kah,kak,kali,kalo,karah,kasih,kebraon,kemarin,kena,kerja,keruh,kotak,lancar,lapor,layan,lek,loh,malam,mandi,masak,mati,mem,meter,min,minggu,moga,mohon,normal,num,nyala,opo,orang,pagi,pakai,pakal,panas,parah,pas,pasang,pbi,pdam,pemberitahuan,pipa,pompa,pondok,proyek,respon,rumah,sama,sambikerep,sampek,sek,sekali,selamat,selesai,siang,sih,sore,subuh,surabaya,susah,ta,tagih,tandon,tanggal,telat,terima,tidur,tolong,tp,tugas,wa,warga,wilayah,ya
info ganggu air wilayah babat jerawat pondok benowo indah,0,0,0.158975813,0,0,0,0,0,0,0,0,0,0,0.384679932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382218258,0,0,0,0,0,0,0.460031298,0.343834877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443543224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392524438,0
lapor pdam gara-gara banyu jumat jam jam malam nyala ak paksa g tidur hawa panas badan lengket nyala langsung mandi isi bak air cuci jam subuh jam gin ape tidur bos,0,0,0.095146809,0,0,0,0,0,0,0,0.212703705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268541301,0,0,0,0,0,0,0,0,0.259806914,0,0,0,0,0.250096422,0,0,0,0,0,0,0,0,0,0.387670144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26546002,0,0,0,0.192806568,0.206717315,0,0,0,0,0,0,0,0,0,0,0.245443857,0,0,0,0,0,0.254720115,0,0,0,0,0.168295822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268541301,0,0,0,0,0,0,0,0,0.466171014,0,0,0,0,0,0,0
baik selesai air gak nyala rutinitas pdam akhir pekan air gak nyala,0,0,0.301194276,0,0,0,0,0.359149642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561807427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458891423,0,0,0,0,0,0,0,0,0,0,0.314652443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393800025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jalan juwingan air mati gak info mohon informasi mati,0,0,0.180849346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337332127,0,0,0,0,0,0,0,0,0.391143228,0.426863081,0,0.467313093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34915282,0,0,0,0,0,0.421907831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
info sampek tanggal promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506623161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646386213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570541705,0,0,0,0,0,0,0,0,0,0
karah air mati min pas air,0,0,0.378268003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559579757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254746834,0,0,0.300603259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623318173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruwet bayar gak pasang bulan,0,0,0,0,0,0,0,0,0,0,0,0,0.474713973,0,0,0,0,0,0.561509733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379552743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561509733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daftar pasang pdam gimana daftar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622308971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659008987,0,0.422420052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam air normal minggu pagi gak nyala wonorejo manuk kulon,0,0,0.193912897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361699124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457697295,0,0,0.535097117,0,0.295440426,0,0,0.361699124,0,0,0,0,0,0,0,0.342993429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lidah kulon banyu mati hari,0,0,0,0,0,0,0,0,0,0,0.630506762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70642494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321597618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ga baik mati kemarin malam,0,0,0,0,0,0,0,0.470529656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452829656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529042716,0,0,0,0,0,0,0,0,0,0.472270872,0,0,0.265746446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
