post_id,created_at,username,text,parent_comment_id
DPLHwIlE0ry,2025-09-29 12:29:02 WIB,hanifahdillah,"['nasib', 'gak', 'duwe', 'tandon', 'ya', 'mbak', 'kunu', 'nangis', 'rasane', 'banyu', 'mati']",
DPLHwIlE0ry,2025-09-29 12:30:17 WIB,ifaalya20,"['semoga', 'hari', 'ini', 'bisa', 'ngalir', 'buat', 'bapak <num>', 'dilapangan', 'tetap', 'semangat', 'lancar', 'selalu']",
DPLHwIlE0ry,2025-09-29 12:34:16 WIB,mpuapv,"['suweeeeee', 'gk', 'isok', 'korah <num>', 'opomaneh', 'sango', 'rusak', 'pisan', 'wkwkwkkwkw']",
DPLHwIlE0ry,2025-09-29 12:39:19 WIB,damaxrif,"['sehat', 'slalu', 'bapak', 'dan', 'ibu', 'pam', 'surya', 'sembada', 'semoga', 'di', 'lancarkan', 'pekerjaannya', 'dan', 'lekas', 'mengalir', 'normal', 'airnya', 'semangat']",
DPLHwIlE0ry,2025-09-29 12:41:16 WIB,samie_sr,"['ahhhh', 'apaa', 'apaaan', 'initelat', 'bayar', 'denda', 'kalau', 'gangguan', 'ke', 'akean', 'drama']",
DPLHwIlE0ry,2025-09-29 12:44:31 WIB,irfadwip,"['cerah', 'cerah', 'wajahku', 'gak', 'onok', 'cerah <num> e', 'iki', 'gara <num>', 'gak', 'adus', 'mbak']",
DPIc55CE5Cg,2025-09-28 11:39:11 WIB,4gusmr,"['apakah', 'aplikasi', 'cis', 'pam', 'surabayabisa', 'untuk', 'pengaduan', '?', 'sudah', 'laporan', 'tapi', 'tidak', 'ada', 'tindak', 'lanjut', '?']",
DPIc55CE5Cg,2025-09-28 11:56:42 WIB,widyarigga,"['keren', 'bgt', 'kontennya', 'kak']",
DPIc55CE5Cg,2025-09-28 12:49:14 WIB,ann.wattimena,"['kerennn', 'minn']",
DPIc55CE5Cg,2025-09-28 17:33:59 WIB,presarioqalamm,"['mantappp', 'min', 'kontennya']",
DPIc55CE5Cg,2025-09-28 18:05:23 WIB,azamroni44,"['keren', 'mimin', 'dirgahayu', 'ke', '<num>', 'dari', 'tetangga', 'di', 'daop', '<num>']",
DPIc55CE5Cg,2025-09-28 18:53:54 WIB,rizqiamrii,['mbois'],
DPIc55CE5Cg,2025-09-28 19:46:13 WIB,bagus_arlang,['josss'],
DPIc55CE5Cg,2025-09-28 22:07:26 WIB,anikyuli,"['tolong', 'diupdate', 'perbaikan', 'pipa', 'bocornya', 'sampe', 'mana', 'min', 'besok', 'senin', 'jam', 'sibuk', 'tolong']",
DPIc55CE5Cg,2025-09-30 22:41:36 WIB,bustanul.arifin88,"['lanjut', 'tema', 'kesehatan', 'kebugaran', 'min', 'atau', 'keselamatan', 'saat', 'berkendara']",
DPOAl3MjhAb,2025-09-30 15:00:58 WIB,kartarsurabaya.official,['ashiapp'],
DPIGmZnExJk,2025-09-29 21:12:09 WIB,ullywulan_d,"['nggih', 'alhamdulillah', 'pak', 'terima', 'kasih', 'atas', 'kerja', 'kerasnya', 'bapak', 'bapak', 'pdam', 'sekarang', 'sumber', 'air', 'su', 'dekat']",
DPIGmZnExJk,2025-09-29 21:18:58 WIB,amaliaamalia207,"['alhmdllh', 'trima', 'kasih', 'buat', 'tim', 'hebat', 'pdam']",
DPIGmZnExJk,2025-09-29 21:25:03 WIB,shafaardini,"['sudah', 'kak', 'ternyata', 'ada', 'kebocoran', 'dikarenakan', 'pembangunan', 'box', 'culvert', 'terima', 'kasih', 'atas', 'perhatiannya']",
DPIGmZnExJk,2025-09-29 21:34:37 WIB,nur.zulfia,"['terimakasih', 'min']",
DPIGmZnExJk,2025-09-29 21:50:39 WIB,mayarnata,"['terimakasih', 'utk', 'perbaikan', 'nya']",
DPIGmZnExJk,2025-09-29 21:53:36 WIB,ainuratmi,"['air', 'sudah', 'keluar', 'tapi', 'keruh', 'min', 'gimana', 'ini']",
DPIGmZnExJk,2025-09-29 21:58:08 WIB,septianarbianto,"['oke', 'terima', 'kasih', 'min']",
DPIGmZnExJk,2025-09-29 22:01:43 WIB,chenlemiau,['terimakasih'],
DPIGmZnExJk,2025-09-29 22:03:55 WIB,ainuratmi,"['berapa', 'lama', 'min', 'biasanya', 'untuk', 'bisa', 'jernih', 'kembali', '?']",
DPIGmZnExJk,2025-09-29 22:45:08 WIB,ulfakhasanah09,"['terimakasih', 'banyak', 'ya', 'pak', 'sdh', 'bekerja', 'keras']",
DPIGmZnExJk,2025-09-30 00:59:47 WIB,dyahnaw,"['tadi', 'pagi', 'sudah', 'keluar', 'airnya', 'sekarang', 'mati', 'lagi', 'sekitar', 'jam', '<num> an', 'malam', 'ini', 'tolong', 'ditindaklanjuti', 'kembali', 'pembangunan', 'box', 'culvert', 'ini', 'selalu', 'mengganggu', 'stabilitas', 'air', 'bagaimana', 'ini', 'pak']",
DPIGmZnExJk,2025-09-30 02:30:10 WIB,shafaardini,"['sampai', 'sekarang', 'masih', 'mati', 'airnya', 'harus', 'di', 'denda', 'ini', 'proyeknya', 'mengganggu', 'kenyamanan', 'warga']",
DPIGmZnExJk,2025-09-30 06:10:03 WIB,fikihanis,"['pondok', 'benowo', 'indah', 'masih', 'blum', 'nyala', 'air', 'nya', 'sampe', 'pagi', 'ini']",
