post_id,comment_id,created_at,username,text,parent_comment_id
DO-Gmy3k2oA,18093033628696878,2025-10-05 21:36:44 WIB,bremana_adi,sore sampai malam air mati daerah komplek tni al juanda menyusahkan,
DO-Gmy3k2oA,18077801570318775,2025-10-06 07:13:17 WIB,bremana_adi,belum juga keluar air gimana ini,
DO-Gmy3k2oA,18490353283070055,2025-10-06 08:27:50 WIB,bremana_adi,komplek tni al juanda dari kemarin sore kami tidak ada air mau sekolah mau ke kantor,
DO-Gmy3k2oA,18063043208108655,2025-10-07 02:11:43 WIB,agungprasetyodh,air di kebraon hari ini mati lagi tp tidak ada informasi sm sekali petugas,
DO-Gmy3k2oA,18078713006078567,2025-10-07 06:58:35 WIB,ardigun09,hari ini pagi pdam di kebraon gang sekolahan mati  sejak perbaikan di gang tomat kebraon tiap pagi mati dan debit air mengecil mohon ada perbaikan di wilayah sini pokoknya sejak saat itu tekanan air di sini berkurang 50  tiap pagi mati antara jam 5 sampai jam 8an,
DO-Gmy3k2oA,18078720602012955,2025-10-07 07:46:55 WIB,agungprasetyodh,tidak keluar min tolong sdh 12 jam mati air tandon sdh menipis,
DO-Gmy3k2oA,18535740295009986,2025-10-07 08:35:32 WIB,galang_rizza43,pak hari ini pdam daera panjang jiwo juga mati,
DO-Gmy3k2oA,18076016777166682,2025-10-07 11:09:12 WIB,agungprasetyodh,sudah semua sy menghubungi melalui telpon pukul 0700 wib tapi sampai siang ini tidak ada petugas yang datang,
DO-Gmy3k2oA,18079219100089734,2025-10-07 11:47:32 WIB,agus_luigi,hari senin tgl 06 okt baru kemarin petugas pdam datang ganti meteran barutapi setelah diganti knp meteran sering gerak padahal kran air nutup semua lokasi kedung barukrungkut,
DO-Gmy3k2oA,18323463019209062,2025-10-07 12:26:47 WIB,agungprasetyodh,alhamdulilah sudah selesai permasalahannya ada petugas perbaikan pipa bocor dekat lokasi terima kasih banyak,
DO-Gmy3k2oA,18121658413504743,2025-10-08 05:05:37 WIB,anitaoffice2025,selamat pagi pdam 3 hari berturut turut pdam di gayung kebonsari dalam no3 pagi tidak keluar airnya nanti air mengalir baru siang jam 10 mohon infonya dan bantuan nya,
DO-Gmy3k2oA,17884231563260811,2025-10-08 08:31:16 WIB,anitaoffice2025,selesai jam berapa ya kak dan untuk berapa hari lagi selesai pekerjaan nya,
DO-Gmy3k2oA,17943856479060701,2025-10-08 09:38:50 WIB,tatong_pudjantoko,jadwal catat mandiri kenapa tanggal berubah terus? jadi kepikiran kalau mau pergi ke luar kota,
DO-Gmy3k2oA,18072163400268706,2025-10-10 11:00:51 WIB,mirandaaa14,hallo min kenapa telpon ke no 0800 192 6666 sibuk terus ya min ?,
DO-Gmy3k2oA,17895175011327973,2025-10-10 11:53:10 WIB,susii_lowati19,di keterangan nya proses cepat saya ngumpulin berkas dari tgl 22 september smpai sekarang masih blm ada pemasangan,
DO-Gmy3k2oA,18041621048689717,2025-10-13 11:35:32 WIB,susii_lowati19,sudah saya kirim pesan kemarin,
DO-Gmy3k2oA,18326222950237621,2025-10-17 07:56:28 WIB,baimmm,setelah daftar online via aplikasi biasanya untuk lanjut ke tahap verifikasi dan selanjutnya sampai pemasangan butuh waktu berapa lama min?,
DO-Gmy3k2oA,17860324599517904,2025-10-22 16:44:04 WIB,katschisby,"last week someone from pdam visited the house my wife handled it no paper  nothing only the information that the appointment to change the ""meter"" has to be scheduled meter is not working and until now - one week later no information at all service? yeah - please check what this means this way has nothing to do with service - 
do you need more info please request it via messenger  thanks",
DO-Gmy3k2oA,18086632375760465,2025-10-28 18:34:25 WIB,baimmm,sudah min t20250005555 mohon bantuannya min,
DO-Gmy3k2oA,18164638048377719,2025-10-31 03:26:27 WIB,opera8176,min daerah jalan gresik mati pdamnya mohon ditindak lanjuti gak ada air sama sekali ini,
DO-Gmy3k2oA,18532948603002360,2025-10-02 04:30:49 WIB,wennyisnaeni,hari ini pdam mati di wilayah perumahan pondok maritim tapi tdk ada pemberitahuanbangun tidur sdh mati petanak2 dan para pekerja sekolah butuh air buat mandi,
DQaW2fUk2z4,18296679961284208,2025-10-30 06:44:46 WIB,kosmelatiindah,min kenapa setiap pagi air mati area wisma lidah kulon,
DQeDOzKk-P7,18099790504670990,2025-10-31 22:15:15 WIB,yisapratama,sampe jam berapa nyalane,
DQeDOzKk-P7,18349998190167001,2025-10-31 23:28:44 WIB,tasyalulaa,nyala jam brp pak?,
DQb3Hrvk8Ky,17932692531108850,2025-10-31 06:07:26 WIB,cahyakamilarosa,minnn area dupak masigit belum keluar airnya sudah chat minta tangki air belum ada respon,
DQdL1MMEx6i,17906404137126432,2025-10-31 09:21:20 WIB,wiksaebeced,telpon ke call centre knp gda respon blasa yaa mauk pengaduan kerusakan meteran,
DQdL1MMEx6i,18334291222230471,2025-10-31 10:44:46 WIB,wiksaebeced,udh selseai trimakssih,
DQZHJ4Uk6Ef,18205951717314311,2025-10-29 19:48:17 WIB,denikdamayantii,ada kamu wkwkw,
DQZHJ4Uk6Ef,18378917239146372,2025-10-29 19:53:12 WIB,lindapriskilar,ini sudah selesai kah min proyeknya?,
DQZHJ4Uk6Ef,18095647186765446,2025-10-29 21:02:54 WIB,vlntnfbran,bjir lah,
DQZHJ4Uk6Ef,17990968865855371,2025-10-30 06:35:08 WIB,bhagyawan_bhagik0,air pdam jl raya sambikerep kenapa mati lagi ini ?,
DQZHJ4Uk6Ef,17953277274033546,2025-10-30 08:22:01 WIB,bhagyawan_bhagik0,seharusnya ada pemberitahuan dahulu jadi bisa antisipasi  jangan sampai lupa tidak ada pemberitahuan,
DQZHJ4Uk6Ef,17991195893712608,2025-10-30 16:27:28 WIB,lindapriskilar,makasih infonya min,
DQbRfbuEzZL,18210096895309802,2025-10-30 15:30:35 WIB,akmalreyhnth,keren bgt instalasi ipam ngagel,
DQbRfbuEzZL,18107162173547672,2025-10-30 15:46:38 WIB,presarioqalamm,kerenn banget pengolahan ipam ngagel,
DQbRfbuEzZL,18074970506465688,2025-10-30 17:19:14 WIB,sheiraekaa,waahhhh,
DQbRfbuEzZL,18070666100253276,2025-10-30 17:55:44 WIB,fachryandd,dang deng dong ipam ngagel 2 keren banget dong,
DQbRfbuEzZL,18080936497863471,2025-10-30 18:09:13 WIB,widyarigga,terbaik,
DQbRfbuEzZL,18203645662315017,2025-10-30 18:10:38 WIB,kharistiano28,sama2 perumda air minum terhits,
DQbRfbuEzZL,18092379643884867,2025-10-30 20:00:33 WIB,subahan_hadi,maju terus melayani,
DQbRfbuEzZL,17861019693529163,2025-10-30 21:13:19 WIB,nrkumalakn___,kerennn,
DQVetJrk5Xh,17963197374002782,2025-10-28 12:08:38 WIB,widyarigga,selamat hari sumpah pemuda,
DQVetJrk5Xh,18366762799156940,2025-10-28 13:05:16 WIB,akmalreyhnth,bangga jadi pemuda indonesia,
DQVetJrk5Xh,17938686824961461,2025-10-28 13:05:46 WIB,ann.wattimena,selamat hari sumpah pemudaaa,
DQVetJrk5Xh,18067788677605832,2025-10-28 13:08:53 WIB,nrkumalakn___,born to be proud raised as indonesian,
DQVetJrk5Xh,18093000367865121,2025-10-28 13:10:23 WIB,ran_nayainayah,mengalir bersama semangat muda,
DQVetJrk5Xh,18046793774400761,2025-10-28 13:11:06 WIB,rajwaazhf,selamat hari sumpah pemuda,
DQVetJrk5Xh,18157196929401640,2025-10-28 13:13:27 WIB,presarioqalamm,selamat hari sumpah pemudaaa,
DQVetJrk5Xh,18131030701473408,2025-10-28 13:28:12 WIB,fachryandd,bangga jadi pemuda indonesia,
DQVetJrk5Xh,18061814993166888,2025-10-28 13:46:00 WIB,nibrassy,selamat hari sumpah pemuda,
DQVetJrk5Xh,17974310363790603,2025-10-28 22:15:59 WIB,damaxrif,sumpah pemuda adalah cermin keberanian anak bangsa untuk bersatu di tengah perbedaan,
DQLxAJbk15p,18085643869754636,2025-10-25 02:46:07 WIB,bellaaristas,rumah daerah ptc surabaya barat airnya keruh mulu dari kemaren,
DQLxAJbk15p,17860978827515541,2025-10-25 08:12:10 WIB,hafana_transport,nice,
DQLxAJbk15p,18072683698998169,2025-10-25 11:04:40 WIB,miftachul_retna,min jambangan air selalu mati hari sabtu sampai jam11 siang ini belum nyala lohbayar iki min,
DQLxAJbk15p,18294934450281822,2025-10-25 17:30:57 WIB,annishafs,kak jambangan airnya blm nyala katanya cm 2 jam,
DQTN1kMk1z5,18132343240479224,2025-10-27 15:30:42 WIB,garin06,medayu airnya mati apa ada perbaikan?,
DQTN1kMk1z5,18555061897032648,2025-10-28 08:01:24 WIB,irvydaniara,min sambikerep kenapa mati airnya?gada pemberitahuan jg,
DQTN1kMk1z5,18166358185372823,2025-10-28 09:55:42 WIB,marcelia_dini,mati cakkkk banyuku ket isuk adus tayamum sambikerep,
DQTN1kMk1z5,17922400410174813,2025-10-28 11:14:52 WIB,ariefmasduqi07,iki kapan air iso metu neh nang sambikerep min budal kerjo gaiso adus banyu gak metu blas,
DQTMF6XE7Cl,17864172762493182,2025-10-27 16:11:06 WIB,ollaaqmryh,medokan ayu mati lagi,
DQTMF6XE7Cl,17873075259442329,2025-10-27 17:26:46 WIB,dolankesiniyuk,halo min,
DQTMF6XE7Cl,18061784171182976,2025-10-27 17:27:25 WIB,dolankesiniyuk,area medayu airnya mati,
DQTMF6XE7Cl,18084511372769903,2025-10-27 17:54:05 WIB,garin06,nyala lagi kapan ya? kok gak ada pemberitahuan biasanya di status pdam ada pemberitahuan,
DQTMF6XE7Cl,18093973288829602,2025-10-27 19:28:08 WIB,shiro.lenny,tolong dibantu pipa saluran air jd bocor sehabis kegiatan warga bersih2 got berhari2 lapor dr hari rabu ga ditangani,
DQTMF6XE7Cl,17874666309429453,2025-10-28 00:14:18 WIB,ollaaqmryh,sampai kapan ya medokan ayu masih mati tolong segera di tindak lanjuti dm ig chat wa call center slow respon semua,
DQTMF6XE7Cl,18199005178318252,2025-10-28 02:44:42 WIB,lindapriskilar,min ya ampunmedayu utara masa seminggu sekali mati air lagiminggu lalu matisekarang gini lagi mana ngga ada pemberitahuan lagi kaya gini tu ngga ada kompensasi ta min cape bgt mintiap ada proyek box culvert mesti mati airnya,
DQTMF6XE7Cl,17991290132894786,2025-10-28 05:07:34 WIB,ollaaqmryh,kak blm nyala ya airnya? yaaallaah aku sampe ga tdr nungguin air nyala dr semalam,
